iter	Logloss
0	0.6907774755
1	0.6877418498
2	0.6847605965
3	0.6818327542
4	0.6797066542
5	0.6768512894
6	0.6740471033
7	0.6717984131
8	0.6690572321
9	0.6663651964
10	0.6638035524
11	0.661287878
12	0.6591315833
13	0.6565301872
14	0.6544243853
15	0.6518812405
16	0.6498246586
17	0.6473383607
18	0.6448966384
19	0.6430288296
20	0.6406477228
21	0.6383092992
22	0.6365071572
23	0.6342267546
24	0.631987219
25	0.6302480516
26	0.6283172784
27	0.6261432244
28	0.6242565476
29	0.6220086307
30	0.6198009087
31	0.6179704027
32	0.6158787071
33	0.6138244493
34	0.6120442901
35	0.6100356616
36	0.6079219579
37	0.6061924489
38	0.6041265059
39	0.6021846104
40	0.6009288633
41	0.5989193178
42	0.59694561
43	0.5952880355
44	0.5934185873
45	0.5917982098
46	0.5898878233
47	0.5880114628
48	0.5862027493
49	0.5844262961
50	0.5826015502
51	0.5808660625
52	0.5799366933
53	0.5781593263
54	0.5766272399
55	0.5752277288
56	0.5735570901
57	0.571837543
58	0.5702051513
59	0.5686017913
60	0.5669286061
61	0.5657303413
62	0.5641694869
63	0.5626363546
64	0.5613407428
65	0.5597427936
66	0.5586049659
67	0.5571756756
68	0.5560627232
69	0.5546637067
70	0.5532895371
71	0.5519397675
72	0.5504859237
73	0.548992117
74	0.547972111
75	0.5466604987
76	0.5452511118
77	0.5438032024
78	0.5426194189
79	0.5416377335
80	0.5406266647
81	0.5393606351
82	0.5380077574
83	0.5367688021
84	0.5355517541
85	0.5341857446
86	0.5328725745
87	0.5315362812
88	0.5303564824
89	0.5291975068
90	0.5279224491
91	0.5269966643
92	0.5260766407
93	0.5248028132
94	0.5235513016
95	0.5223190337
96	0.5210945354
97	0.5198914608
98	0.5188464294
99	0.5178190572
100	0.5166342912
101	0.5156316641
102	0.5146459528
103	0.5134967989
104	0.512348588
105	0.511220394
106	0.5101118599
107	0.5089966508
108	0.5079117244
109	0.5068504859
110	0.5057889207
111	0.5047504823
112	0.5037302038
113	0.5027277618
114	0.5016550445
115	0.5006732878
116	0.4996510458
117	0.4987515442
118	0.4977938011
119	0.4968527621
120	0.4958190641
121	0.4948973473
122	0.4938846892
123	0.4932596767
124	0.4924791969
125	0.4915790811
126	0.4912893448
127	0.4903214119
128	0.4893701873
129	0.4883944796
130	0.4875226796
131	0.4865666615
132	0.4856420509
133	0.4847912238
134	0.4839702481
135	0.4830693695
136	0.4821449811
137	0.4813169554
138	0.4805844812
139	0.4797092389
140	0.4788490214
141	0.4780662161
142	0.4772618815
143	0.4764235918
144	0.475538517
145	0.4746686837
146	0.4738504069
147	0.473155195
148	0.4723544216
149	0.4715086406
150	0.4708316633
151	0.4702851498
152	0.4695130297
153	0.4687541925
154	0.4679324995
155	0.4671886686
156	0.4665302837
157	0.4658000199
158	0.4652732934
159	0.4644747516
160	0.4637683226
161	0.462988145
162	0.4622775269
163	0.4615126009
164	0.4607607426
165	0.4600809912
166	0.4594123212
167	0.4587208912
168	0.4580980942
169	0.4573725979
170	0.4567630289
171	0.4560863157
172	0.4554211543
173	0.454779022
174	0.454147316
175	0.453682857
176	0.4529864002
177	0.4525023179
178	0.4518190808
179	0.451131543
180	0.4504881005
181	0.4498836878
182	0.4492128439
183	0.4485532931
184	0.4479263
185	0.447309952
186	0.4467040645
187	0.4461195792
188	0.4454798963
189	0.4448875369
190	0.4442604676
191	0.4440652303
192	0.4434977974
193	0.4428854
194	0.4423296924
195	0.4417538181
196	0.4411876796
197	0.4406311084
198	0.4400367964
199	0.4394043898
200	0.4387826346
201	0.4383610957
202	0.4378292889
203	0.4372975978
204	0.4367564676
205	0.4363509749
206	0.4358195037
207	0.4356333713
208	0.4350344322
209	0.4346447933
210	0.4341326575
211	0.4335469654
212	0.4329894796
213	0.4324899144
214	0.4321168611
215	0.4319908007
216	0.4314198338
217	0.4308822254
218	0.4303891402
219	0.4299058875
220	0.4293814465
221	0.4288656937
222	0.4283133012
223	0.4278073205
224	0.427339426
225	0.4268676489
226	0.4264095906
227	0.4259178556
228	0.4254342422
229	0.424901408
230	0.4243774493
231	0.4238770716
232	0.4234049875
233	0.422940681
234	0.4224510688
235	0.4219398678
236	0.4214952279
237	0.4210586373
238	0.4206293037
239	0.420517014
240	0.4202139089
241	0.4197352314
242	0.419240496
243	0.4187993605
244	0.418612425
245	0.418502309
246	0.4182112059
247	0.417729259
248	0.4172552889
249	0.4167886636
