iter	Passed	Remaining
0	1	275
1	2	254
2	2	243
3	3	237
4	4	232
5	5	226
6	6	224
7	7	217
8	8	219
9	9	218
10	9	217
11	10	215
12	11	213
13	12	212
14	13	211
15	14	210
16	15	209
17	16	207
18	17	206
19	17	205
20	18	203
21	19	201
22	20	200
23	21	199
24	21	196
25	22	194
26	23	193
27	24	192
28	25	191
29	25	190
30	26	189
31	27	188
32	28	187
33	29	186
34	30	185
35	31	185
36	31	183
37	32	183
38	33	182
39	34	181
40	35	180
41	36	179
42	37	178
43	38	178
44	39	181
45	41	183
46	42	183
47	43	183
48	44	183
49	46	184
50	47	184
51	48	185
52	49	184
53	50	184
54	51	183
55	52	182
56	53	182
57	54	181
58	55	180
59	56	179
60	57	178
61	58	177
62	59	176
63	60	176
64	61	175
65	62	174
66	63	173
67	64	172
68	65	172
69	66	171
70	67	170
71	68	170
72	69	168
73	70	167
74	70	165
75	71	163
76	72	161
77	72	160
78	73	158
79	73	156
80	74	155
81	74	153
82	75	152
83	76	150
84	76	148
85	77	147
86	77	145
87	78	144
88	79	142
89	79	141
90	80	140
91	80	138
92	81	137
93	81	136
94	82	134
95	83	133
96	84	132
97	84	131
98	85	130
99	85	128
100	86	127
101	87	126
102	87	125
103	88	123
104	88	122
105	89	121
106	89	120
107	90	119
108	91	117
109	91	116
110	92	115
111	92	114
112	93	113
113	93	112
114	94	111
115	95	109
116	95	108
117	96	107
118	96	106
119	97	105
120	98	104
121	98	103
122	99	102
123	99	101
124	100	100
125	101	99
126	101	98
127	102	97
128	102	96
129	103	95
130	104	94
131	104	93
132	105	92
133	105	91
134	106	90
135	106	89
136	107	88
137	108	87
138	108	86
139	109	85
140	109	84
141	110	83
142	111	83
143	111	82
144	112	81
145	112	80
146	113	79
147	114	78
148	114	77
149	115	76
150	115	75
151	116	75
152	117	74
153	117	73
154	118	72
155	118	71
156	119	70
157	119	69
158	120	68
159	121	68
160	121	67
161	122	66
162	122	65
163	123	64
164	123	63
165	124	63
166	125	62
167	125	61
168	126	60
169	126	59
170	127	58
171	128	58
172	128	57
173	129	56
174	129	55
175	130	54
176	131	54
177	131	53
178	132	52
179	132	51
180	133	50
181	134	50
182	134	49
183	135	48
184	135	47
185	136	46
186	136	46
187	137	45
188	138	44
189	138	43
190	139	43
191	139	42
192	140	41
193	141	40
194	141	39
195	142	39
196	142	38
197	143	37
198	144	36
199	144	36
200	145	35
201	145	34
202	146	33
203	146	33
204	147	32
205	148	31
206	148	30
207	149	30
208	149	29
209	150	28
210	151	27
211	151	27
212	152	26
213	152	25
214	153	24
215	154	24
216	154	23
217	155	22
218	155	22
219	156	21
220	156	20
221	157	19
222	158	19
223	158	18
224	159	17
225	159	16
226	160	16
227	161	15
228	161	14
229	162	14
230	162	13
231	163	12
232	164	11
233	164	11
234	165	10
235	165	9
236	166	9
237	166	8
238	167	7
239	168	7
240	168	6
241	169	5
242	169	4
243	170	4
244	171	3
245	171	2
246	172	2
247	172	1
248	173	0
249	173	0
